person,99_vote,103_vote,104_vote,105_vote,107_vote,108_vote,name
400004,-1,-1,-1,-1,-1,-1,Rep. Robert Aderholt [R]
400030,1,1,1,1,1,1,Rep. Sanford Bishop Jr. [D]
400033,1,1,1,1,1,1,Rep. Earl Blumenauer [D]
400046,0,-1,-1,-1,-1,0,Rep. Kevin Brady [R]
400052,-1,-1,-1,-1,-1,1,Rep. Michael Burgess [R]
400057,-1,1,-1,-1,-1,1,Rep. Ken Calvert [R]
400068,-1,-1,-1,-1,-1,1,Rep. John Carter [R]
400069,1,1,1,-1,1,1,Rep. Ed Case [D]
400071,-1,-1,-1,-1,-1,-1,Rep. Steve Chabot [R]
400075,1,1,1,1,1,1,Rep. James “Jim” Clyburn [D]
400077,-1,-1,-1,-1,-1,1,Rep. Tom Cole [R]
400081,1,1,1,1,1,1,Rep. Jim Cooper [D]
400093,1,1,1,1,1,1,Rep. Danny Davis [D]
400100,1,1,1,1,1,1,Rep. Peter DeFazio [D]
400101,1,1,1,1,1,1,Rep. Diana DeGette [D]
400103,1,1,1,1,1,1,Rep. Rosa DeLauro [D]
400108,-1,-1,-1,-1,-1,1,Rep. Mario Diaz-Balart [R]
400111,1,1,1,1,1,1,Rep. Lloyd Doggett [D]
400114,1,1,1,1,1,1,Rep. Michael Doyle [D]
400124,1,1,1,1,1,1,Rep. Anna Eshoo [D]
400157,-1,-1,-1,-1,-1,1,Rep. Kay Granger [R]
400158,-1,1,-1,-1,-1,1,Rep. Sam Graves [R]
400162,1,1,1,1,1,0,Rep. Raúl Grijalva [D]
400189,1,1,1,1,1,1,Rep. Steny Hoyer [D]
400196,-1,-1,-1,-1,-1,1,Rep. Darrell Issa [R]
400199,1,1,1,1,1,1,Rep. Sheila Jackson Lee [D]
400204,1,1,1,1,1,1,Rep. Eddie Johnson [D]
400211,1,1,1,1,1,1,Rep. Marcy Kaptur [D]
400218,1,1,1,1,1,1,Rep. Ron Kind [D]
400230,1,1,1,1,1,1,Rep. James “Jim” Langevin [D]
400232,1,1,1,1,1,1,Rep. Rick Larsen [D]
400233,1,1,1,1,1,1,Rep. John Larson [D]
400237,1,1,1,1,1,1,Rep. Barbara Lee [D]
400245,1,1,1,1,1,1,Rep. Zoe Lofgren [D]
400247,-1,-1,-1,-1,-1,-1,Rep. Frank Lucas [R]
400249,1,1,1,1,1,1,Rep. Stephen Lynch [D]
400251,1,1,1,1,1,1,Rep. Carolyn Maloney [D]
400259,1,1,1,1,1,1,Rep. Betty McCollum [D]
400263,1,1,1,1,1,1,Rep. James “Jim” McGovern [D]
400271,1,1,1,1,1,0,Rep. Gregory Meeks [D]
400289,1,1,1,1,1,0,Rep. Jerrold Nadler [D]
400290,1,1,1,1,1,1,Rep. Grace Napolitano [D]
400291,1,1,1,1,1,1,Rep. Richard Neal [D]
400308,1,1,1,1,1,1,Rep. Frank Pallone Jr. [D]
400309,1,1,1,1,1,1,Rep. Bill Pascrell Jr. [D]
400326,1,1,1,1,1,1,Rep. David Price [D]
400340,-1,-1,-1,-1,-1,1,Rep. Harold “Hal” Rogers [R]
400341,-1,-1,-1,-1,-1,1,Rep. Mike Rogers [R]
400347,1,1,1,1,1,1,Rep. Lucille Roybal-Allard [D]
400349,1,1,1,1,1,1,Rep. A. Dutch Ruppersberger [D]
400350,1,1,1,1,1,1,Rep. Bobby Rush [D]
400352,1,1,1,1,1,1,Rep. Tim Ryan [D]
400355,1,1,1,1,1,1,Rep. Linda Sánchez [D]
400360,1,1,1,1,1,1,Rep. Janice “Jan” Schakowsky [D]
400361,1,1,1,1,1,1,Rep. Adam Schiff [D]
400363,1,1,1,1,1,1,Rep. David Scott [D]
400364,1,1,1,1,1,1,Rep. Robert “Bobby” Scott [D]
400367,-1,-1,-1,-1,-1,-1,Rep. Pete Sessions [R]
400371,1,1,1,1,1,1,Rep. Brad Sherman [D]
400376,-1,-1,-1,-1,-1,-1,Rep. Michael “Mike” Simpson [R]
400379,1,1,1,1,1,1,Rep. Adam Smith [D]
400380,-1,1,-1,-1,-1,1,Rep. Christopher “Chris” Smith [R]
400402,1,1,1,1,1,1,Rep. Bennie Thompson [D]
400403,1,1,1,1,1,1,Rep. Mike Thompson [D]
400411,-1,-1,-1,-1,-1,1,Rep. Michael Turner [R]
400414,-1,1,1,-1,-1,1,Rep. Fred Upton [R]
400416,1,1,1,1,1,1,Rep. Nydia Velázquez [D]
400422,1,1,1,1,1,1,Rep. Maxine Waters [D]
400433,-1,-1,-1,-1,-1,-1,Rep. Joe Wilson [R]
400616,1,1,1,1,1,1,Rep. George “G.K.” Butterfield Jr. [D]
400618,1,1,1,1,1,1,Rep. Jim Costa [D]
400623,1,1,1,1,1,1,Rep. Debbie Wasserman Schultz [D]
400639,1,1,1,1,1,1,Rep. Emanuel Cleaver II [D]
400641,1,1,1,1,1,1,Rep. Brian Higgins [D]
400643,-1,-1,-1,-1,-1,-1,Rep. Virginia Foxx [R]
400644,-1,-1,-1,-1,-1,1,Rep. Patrick McHenry [R]
400651,-1,-1,-1,-1,-1,-1,Rep. Louie Gohmert Jr. [R]
400653,1,1,1,1,1,1,Rep. Al Green [D]
400654,-1,-1,-1,-1,-1,1,Rep. Michael McCaul [R]
400657,1,1,1,1,-1,1,Rep. Henry Cuellar [D]
400659,-1,-1,-1,-1,-1,1,Rep. Cathy Rodgers [R]
400661,1,1,1,1,1,1,Rep. Gwen Moore [D]
400663,1,1,1,1,1,1,Rep. Doris Matsui [D]
407672,1,1,1,1,1,1,Rep. Kweisi Mfume [D]
412186,1,1,1,1,1,1,Rep. Albio Sires [D]
412189,1,1,1,1,1,1,Rep. Jerry McNerney [D]
412190,-1,-1,-1,-1,-1,1,Rep. Kevin McCarthy [R]
412191,-1,1,-1,-1,-1,1,Rep. Doug Lamborn [R]
412192,1,1,1,1,1,1,Rep. Ed Perlmutter [D]
412193,1,1,1,1,1,1,Rep. Joe Courtney [D]
412195,1,1,1,1,1,1,Rep. Kathy Castor [D]
412196,-1,-1,-1,-1,-1,-1,Rep. Vern Buchanan [R]
412199,1,1,1,1,1,1,Rep. Henry “Hank” Johnson Jr. [D]
412211,1,1,1,1,1,1,Rep. John Yarmuth [D]
412212,1,1,1,1,1,1,Rep. John Sarbanes [D]
412213,-1,-1,-1,-1,-1,1,Rep. Tim Walberg [R]
412217,-1,0,-1,-1,-1,-1,Rep. Adrian Smith [R]
412221,1,1,1,1,1,1,Rep. Yvette Clarke [D]
412226,-1,-1,-1,-1,-1,-1,Rep. Jim Jordan [R]
412236,1,-1,1,1,1,1,Rep. Steve Cohen [D]
412239,1,1,1,1,1,1,Rep. Peter Welch [D]
412250,-1,-1,-1,-1,-1,1,Rep. Gus Bilirakis [R]
412255,-1,-1,-1,-1,-1,1,Rep. Robert Wittman [R]
412256,-1,-1,-1,-1,-1,-1,Rep. Robert Latta [R]
412257,1,0,1,1,1,1,Rep. Bill Foster [D]
412258,1,1,1,1,1,1,Rep. André Carson [D]
412259,1,1,1,1,1,1,Rep. Jackie Speier [D]
412261,-1,-1,-1,-1,-1,1,Rep. Steve Scalise [R]
412272,1,1,1,1,1,1,Rep. Gerald Connolly [D]
412278,-1,-1,-1,-1,-1,1,Rep. Brett Guthrie [R]
412282,1,1,1,1,1,1,Rep. James “Jim” Himes [D]
412286,1,1,1,1,1,1,Rep. Ann Kirkpatrick [D]
412292,-1,-1,-1,-1,-1,1,Rep. Blaine Luetkemeyer [R]
412295,-1,1,-1,-1,1,1,Rep. Tom McClintock [R]
412307,1,1,1,1,1,1,Rep. Chellie Pingree [D]
412309,-1,-1,-1,-1,-1,-1,Rep. Bill Posey [R]
412315,1,1,1,1,1,1,Rep. Kurt Schrader [D]
412317,-1,0,-1,-1,-1,1,Rep. Glenn Thompson [R]
412318,1,1,1,1,1,1,Rep. Dina Titus [D]
412319,0,1,1,1,1,1,Rep. Paul Tonko [D]
412331,1,1,1,1,1,1,Rep. Mike Quigley [D]
412379,1,1,1,1,1,1,Rep. Judy Chu [D]
412382,1,1,1,1,1,1,Rep. John Garamendi [D]
412385,1,1,1,1,1,1,Rep. Theodore “Ted” Deutch [D]
412393,-1,1,1,-1,-1,1,Rep. Tom Reed [R]
412395,-1,-1,-1,-1,-1,1,Rep. Mo Brooks [R]
412396,1,1,1,1,1,1,Rep. Terri Sewell [D]
412397,-1,-1,-1,-1,-1,-1,Rep. Paul Gosar [R]
412399,-1,-1,-1,-1,-1,1,Rep. David Schweikert [R]
412400,-1,-1,-1,-1,-1,-1,Rep. Eric “Rick” Crawford [R]
412402,-1,-1,-1,-1,-1,1,Rep. Steve Womack [R]
412404,1,1,1,1,1,1,Rep. Karen Bass [D]
412410,-1,-1,-1,-1,-1,-1,Rep. Daniel Webster [R]
412412,1,1,1,1,1,1,Rep. Frederica Wilson [D]
412417,-1,-1,-1,-1,-1,1,Rep. Austin Scott [R]
412421,0,0,0,0,-1,1,Rep. Adam Kinzinger [R]
412427,-1,1,-1,-1,-1,1,Rep. Larry Bucshon [R]
412434,-1,-1,-1,-1,-1,1,Rep. Andy Harris [R]
412435,1,1,1,1,1,1,Rep. William Keating [D]
412437,-1,-1,-1,-1,-1,1,Rep. Bill Huizenga [R]
412443,-1,-1,1,-1,-1,-1,Rep. Steven Palazzo [R]
412444,0,1,-1,-1,-1,1,Rep. Vicky Hartzler [R]
412445,-1,-1,-1,-1,-1,1,Rep. Billy Long [R]
412460,-1,1,1,-1,-1,1,Rep. Bill Johnson [R]
412463,-1,-1,-1,-1,-1,-1,Rep. Bob Gibbs [R]
412465,-1,-1,-1,-1,-1,1,Rep. Mike Kelly [R]
412470,1,1,1,1,1,1,Rep. David Cicilline [D]
412472,-1,-1,-1,-1,-1,-1,Rep. Jeff Duncan [R]
412476,-1,-1,-1,-1,-1,1,Rep. Charles “Chuck” Fleischmann [R]
412477,-1,-1,-1,-1,-1,1,Rep. Scott DesJarlais [R]
412485,-1,1,1,-1,-1,1,Rep. Morgan Griffith [R]
412486,-1,-1,-1,-1,-1,1,Rep. Jaime Herrera Beutler [R]
412487,-1,-1,-1,-1,-1,-1,Rep. David McKinley [R]
412500,-1,-1,-1,-1,-1,1,Rep. Mark Amodei [R]
412501,1,1,1,1,1,1,Rep. Suzanne Bonamici [D]
412503,-1,-1,-1,-1,-1,1,Rep. Thomas Massie [R]
412505,1,1,1,1,1,1,Rep. Suzan DelBene [D]
412506,1,1,1,1,1,1,Rep. Donald Payne Jr. [D]
412510,-1,-1,-1,-1,-1,-1,Rep. Doug LaMalfa [R]
412511,1,1,1,1,1,1,Rep. Jared Huffman [D]
412512,1,1,1,1,1,1,Rep. Ami Bera [D]
412514,1,1,1,1,1,1,Rep. Eric Swalwell [D]
412515,-1,1,-1,-1,-1,1,Rep. David Valadao [R]
412516,1,1,1,1,1,1,Rep. Julia Brownley [D]
412517,1,1,1,1,1,1,Rep. Tony Cárdenas [D]
412519,1,1,1,1,1,1,Rep. Raul Ruiz [D]
412520,1,1,1,1,1,1,Rep. Mark Takano [D]
412521,1,-1,1,1,1,1,Rep. Alan Lowenthal [D]
412522,1,1,1,1,1,1,Rep. Juan Vargas [D]
412523,1,1,1,1,1,1,Rep. Scott Peters [D]
412529,1,1,1,1,1,1,Rep. Lois Frankel [D]
412534,1,1,1,1,1,1,Rep. Bradley “Brad” Schneider [D]
412536,-1,0,-1,-1,-1,1,Rep. Rodney Davis [R]
412537,0,0,0,0,0,1,Rep. Cheri Bustos [D]
412538,-1,-1,-1,-1,-1,-1,Rep. Jackie Walorski [R]
412541,-1,-1,-1,-1,-1,1,Rep. Garland “Andy” Barr [R]
412546,1,1,1,1,1,1,Rep. Daniel Kildee [D]
412548,-1,1,-1,-1,-1,1,Rep. Ann Wagner [R]
412550,-1,-1,-1,-1,-1,-1,Rep. Richard Hudson [R]
412557,1,1,1,1,1,1,Rep. Ann Kuster [D]
412559,1,1,1,1,1,1,Rep. Steven Horsford [D]
412560,1,1,1,1,1,1,Rep. Grace Meng [D]
412561,1,1,1,1,1,1,Rep. Hakeem Jeffries [D]
412562,1,1,1,1,1,1,Rep. Sean Maloney [D]
412564,-1,-1,-1,-1,-1,-1,Rep. Brad Wenstrup [R]
412565,1,1,1,1,1,1,Rep. Joyce Beatty [D]
412566,-1,1,1,-1,-1,1,Rep. David Joyce [R]
412568,-1,-1,-1,-1,-1,-1,Rep. Markwayne Mullin [R]
412569,-1,-1,-1,-1,-1,-1,Rep. Scott Perry [R]
412571,1,1,1,1,1,1,Rep. Matthew “Matt” Cartwright [D]
412572,-1,-1,-1,-1,-1,1,Rep. Tom Rice [R]
412574,-1,-1,-1,-1,-1,-1,Rep. Randy Weber Sr. [R]
412576,1,1,1,1,1,1,Rep. Joaquin Castro [D]
412578,-1,-1,-1,-1,-1,-1,Rep. Roger Williams [R]
412579,1,1,1,1,1,1,Rep. Marc Veasey [D]
412581,-1,-1,-1,-1,-1,1,Rep. Chris Stewart [R]
412583,1,1,1,1,1,1,Rep. Derek Kilmer [D]
412585,1,-1,-1,1,1,1,Rep. Mark Pocan [D]
412595,1,1,1,1,1,1,Rep. Robin Kelly [D]
412596,-1,-1,-1,-1,-1,1,Rep. Jason Smith [R]
412600,1,1,1,1,1,1,Rep. Katherine Clark [D]
412606,1,1,1,1,1,1,Rep. Donald Norcross [D]
412607,1,1,1,1,1,1,Rep. Alma Adams [D]
412608,-1,-1,-1,-1,-1,-1,Rep. Gary Palmer [R]
412609,-1,-1,-1,-1,-1,1,Rep. French Hill [R]
412610,-1,-1,-1,-1,-1,-1,Rep. Bruce Westerman [R]
412612,1,1,1,1,1,1,Rep. Ruben Gallego [D]
412613,1,1,1,1,1,1,Rep. Mark DeSaulnier [D]
412615,1,1,1,1,1,1,Rep. Pete Aguilar [D]
412616,1,1,1,1,1,1,Rep. Ted Lieu [D]
412617,1,1,1,1,1,1,Rep. Norma Torres [D]
412619,-1,-1,-1,-1,-1,1,Rep. Ken Buck [R]
412622,-1,-1,-1,-1,-1,1,Rep. Earl “Buddy” Carter [R]
412623,-1,-1,-1,-1,-1,0,Rep. Jody Hice [R]
412624,-1,-1,-1,-1,-1,1,Rep. Barry Loudermilk [R]
