person,99_vote,103_vote,104_vote,105_vote,107_vote,108_vote,name
412625,-1,-1,-1,-1,-1,-1,Rep. Rick Allen [R]
412629,-1,-1,-1,-1,-1,1,Rep. Mike Bost [R]
412631,-1,1,-1,-1,-1,1,Rep. Garret Graves [R]
412632,1,1,1,1,1,1,Rep. Seth Moulton [D]
412634,-1,-1,-1,-1,-1,1,Rep. John Moolenaar [R]
412637,1,1,1,1,1,1,Rep. Debbie Dingell [D]
412638,1,1,1,1,1,1,Rep. Brenda Lawrence [D]
412639,-1,-1,-1,-1,-1,0,Rep. Tom Emmer [R]
412641,-1,-1,-1,-1,-1,-1,Rep. David Rouzer [R]
412644,1,1,1,1,1,1,Rep. Bonnie Watson Coleman [D]
412646,0,-1,-1,-1,0,0,Rep. Lee Zeldin [R]
412647,1,1,1,1,1,1,Rep. Kathleen Rice [D]
412648,-1,-1,-1,-1,-1,-1,Rep. Elise Stefanik [R]
412649,-1,1,1,-1,-1,0,Rep. John Katko [R]
412652,1,1,1,1,1,1,Rep. Brendan Boyle [D]
412655,-1,-1,-1,-1,-1,-1,Rep. Brian Babin [R]
412657,1,1,1,1,1,1,Rep. Donald Beyer Jr. [D]
412660,-1,1,1,-1,-1,1,Rep. Dan Newhouse [R]
412661,-1,-1,1,-1,-1,1,Rep. Glenn Grothman [R]
412662,-1,-1,-1,-1,-1,-1,Rep. Alexander Mooney [R]
412673,-1,-1,-1,-1,-1,-1,Rep. Trent Kelly [R]
412674,-1,-1,-1,-1,-1,1,Rep. Darin LaHood [R]
412675,-1,-1,-1,-1,-1,1,Rep. Warren Davidson [R]
412676,-1,-1,-1,-1,-1,1,Rep. James Comer [R]
412677,1,1,1,1,1,1,Rep. Dwight Evans [D]
412682,1,1,1,-1,1,1,Rep. Tom O’Halleran [D]
412683,-1,-1,-1,-1,-1,-1,Rep. Andy Biggs [R]
412684,1,1,1,1,1,1,Rep. Ro Khanna [D]
412685,1,1,1,-1,1,1,Rep. Jimmy Panetta [D]
412686,1,1,1,1,1,1,Rep. Salud Carbajal [D]
412687,1,1,1,1,1,1,Rep. Nanette Barragán [D]
412688,1,1,1,1,1,1,Rep. Luis Correa [D]
412689,1,1,1,1,1,1,Rep. Lisa Blunt Rochester [D]
412690,-1,-1,-1,1,1,1,Rep. Matt Gaetz [R]
412691,-1,-1,-1,-1,-1,1,Rep. Neal Dunn [R]
412692,-1,1,-1,-1,-1,1,Rep. John Rutherford [R]
412693,1,1,1,1,1,1,Rep. Al Lawson Jr. [D]
412694,1,1,1,-1,1,1,Rep. Stephanie Murphy [D]
412695,1,1,1,1,1,1,Rep. Darren Soto [D]
412696,1,1,1,-1,1,1,Rep. Val Demings [D]
412697,1,1,1,1,1,1,Rep. Charlie Crist [D]
412698,-1,-1,-1,-1,1,1,Rep. Brian Mast [R]
412700,-1,1,-1,-1,-1,1,Rep. Drew Ferguson IV [R]
412701,1,1,1,1,1,1,Rep. Raja Krishnamoorthi [D]
412702,-1,-1,-1,-1,-1,-1,Rep. Jim Banks [R]
412703,0,0,1,-1,-1,1,Rep. Trey Hollingsworth [R]
412705,-1,1,-1,-1,-1,1,Rep. Clay Higgins [R]
412706,-1,0,0,0,0,-1,Rep. Mike Johnson [R]
412707,1,1,1,1,1,1,Rep. Anthony Brown [D]
412708,1,1,1,1,1,1,Rep. Jamie Raskin [D]
412709,-1,-1,-1,-1,-1,1,Rep. Jack Bergman [R]
412712,-1,0,0,0,0,-1,Rep. Ted Budd [R]
412713,-1,-1,-1,-1,-1,1,Rep. Don Bacon [R]
412714,1,1,1,-1,1,1,Rep. Josh Gottheimer [D]
412717,1,1,1,1,1,1,Rep. Thomas Suozzi [D]
412718,1,1,1,1,1,1,Rep. Adriano Espaillat [D]
412720,-1,-1,-1,-1,-1,1,Rep. Claudia Tenney [R]
412721,-1,1,1,-1,-1,1,Rep. Brian Fitzpatrick [R]
412722,-1,-1,-1,-1,-1,1,Rep. Lloyd Smucker [R]
412724,-1,-1,-1,-1,-1,-1,Rep. David Kustoff [R]
412725,1,1,1,1,1,1,Rep. Vicente Gonzalez [D]
412726,-1,0,-1,-1,-1,-1,Rep. Jodey Arrington [R]
412728,1,1,1,1,1,1,Rep. Donald McEachin [D]
412730,1,1,1,1,1,1,Rep. Pramila Jayapal [D]
412731,-1,-1,-1,-1,-1,-1,Rep. Mike Gallagher [R]
412732,0,0,0,0,0,-1,Rep. Liz Cheney [R]
412735,-1,-1,-1,-1,-1,-1,Rep. Ron Estes [R]
412738,-1,-1,-1,-1,-1,-1,Rep. Ralph Norman [R]
412739,1,1,1,1,1,1,Rep. Jimmy Gomez [D]
412740,-1,-1,-1,-1,-1,1,Rep. John Curtis [R]
412744,1,1,1,1,1,1,Rep. Conor Lamb [D]
412745,-1,-1,-1,-1,-1,-1,Rep. Debbie Lesko [R]
412746,-1,-1,-1,-1,-1,-1,Rep. Michael Cloud [R]
412747,-1,-1,-1,-1,-1,1,Rep. Troy Balderson [R]
412748,-1,-1,-1,-1,-1,-1,Rep. Kevin Hern [R]
412749,1,1,1,1,1,1,Rep. Joseph Morelle [D]
412750,1,1,1,1,1,1,Rep. Mary Scanlon [D]
412751,1,1,1,1,1,1,Rep. Susan Wild [D]
412753,1,1,1,1,1,1,Rep. Greg Stanton [D]
412754,1,1,1,1,1,1,Rep. Josh Harder [D]
412758,1,1,1,1,1,1,Rep. Katie Porter [D]
412760,1,1,1,1,1,1,Rep. Mike Levin [D]
412761,1,1,1,1,1,1,Rep. Joe Neguse [D]
412762,1,1,1,1,1,1,Rep. Jason Crow [D]
412763,1,1,1,1,1,1,Rep. Jahana Hayes [D]
412764,-1,-1,-1,-1,-1,1,Rep. Michael Waltz [R]
412766,-1,-1,-1,-1,-1,1,Rep. Gregory Steube [R]
412769,1,1,1,1,1,1,Rep. Lucy McBath [D]
412772,1,1,1,1,1,1,Rep. Cynthia Axne [D]
412773,-1,-1,-1,-1,-1,-1,Rep. Russ Fulcher [R]
412774,1,1,1,1,1,1,Rep. Jesús “Chuy” García [D]
412775,1,1,1,1,1,1,Rep. Sean Casten [D]
412776,1,1,1,1,1,1,Rep. Lauren Underwood [D]
412777,-1,-1,-1,-1,-1,1,Rep. James Baird [R]
412778,-1,-1,-1,-1,-1,1,Rep. Greg Pence [R]
412780,1,1,1,1,1,1,Rep. Sharice Davids [D]
412781,1,1,1,1,1,1,Rep. Lori Trahan [D]
412782,1,1,1,1,1,1,Rep. Ayanna Pressley [D]
412783,1,1,1,1,1,1,Rep. David Trone [D]
412784,1,1,1,-1,1,1,Rep. Elissa Slotkin [D]
412785,1,1,1,1,1,1,Rep. Andy Levin [D]
412786,1,1,1,1,1,1,Rep. Haley Stevens [D]
412787,1,-1,1,1,1,1,Rep. Rashida Tlaib [D]
412789,1,1,1,1,1,1,Rep. Angie Craig [D]
412790,1,1,1,1,1,1,Rep. Dean Phillips [D]
412791,1,1,1,1,1,1,Rep. Ilhan Omar [D]
412792,-1,1,-1,-1,-1,-1,Rep. Pete Stauber [R]
412793,-1,-1,-1,-1,-1,0,Rep. Michael Guest [R]
412794,0,-1,-1,-1,-1,1,Rep. Kelly Armstrong [R]
412795,1,1,1,1,-1,1,Rep. Chris Pappas [D]
412796,-1,-1,-1,-1,-1,-1,Rep. Jefferson Van Drew [R]
412797,1,1,1,1,1,1,Rep. Andy Kim [D]
412798,1,1,1,-1,1,1,Rep. Tom Malinowski [D]
412799,1,1,1,1,1,1,Rep. Mikie Sherrill [D]
412802,1,1,1,-1,1,1,Rep. Susie Lee [D]
412804,1,-1,1,1,1,1,Rep. Alexandria Ocasio-Cortez [D]
412805,1,1,1,1,1,1,Rep. Antonio Delgado [D]
412807,-1,0,0,0,-1,0,Rep. Anthony Gonzalez [R]
412809,1,1,1,1,1,1,Rep. Madeleine Dean [D]
412810,1,1,1,1,1,1,Rep. Chrissy Houlahan [D]
412811,-1,-1,-1,-1,-1,1,Rep. Daniel Meuser [R]
412812,-1,-1,-1,-1,-1,-1,Rep. John Joyce [R]
412813,-1,-1,-1,-1,-1,1,Rep. Guy Reschenthaler [R]
412815,-1,-1,-1,-1,-1,-1,Rep. William Timmons [R]
412816,-1,1,1,-1,-1,1,Rep. Dusty Johnson [R]
412817,-1,-1,-1,-1,-1,1,Rep. Tim Burchett [R]
412818,-1,-1,-1,-1,-1,-1,Rep. John Rose [R]
412819,-1,-1,-1,-1,-1,1,Rep. Mark Green [R]
412820,-1,-1,-1,-1,-1,1,Rep. Dan Crenshaw [R]
412821,-1,-1,-1,-1,-1,1,Rep. Van Taylor [R]
412822,-1,-1,-1,-1,-1,-1,Rep. Lance Gooden [R]
412824,1,1,1,1,1,1,Rep. Lizzie Fletcher [D]
412825,1,1,1,1,1,1,Rep. Veronica Escobar [D]
412826,-1,-1,-1,-1,-1,-1,Rep. Chip Roy [R]
412827,1,1,1,1,1,1,Rep. Sylvia Garcia [D]
412828,1,1,1,1,1,1,Rep. Colin Allred [D]
412830,1,1,1,1,1,1,Rep. Elaine Luria [D]
412832,-1,-1,-1,-1,-1,1,Rep. Ben Cline [R]
412833,1,1,1,-1,1,1,Rep. Abigail Spanberger [D]
412834,1,1,1,-1,1,1,Rep. Jennifer Wexton [D]
412835,1,1,1,-1,1,1,Rep. Kim Schrier [D]
412836,-1,-1,-1,-1,-1,1,Rep. Bryan Steil [R]
412837,-1,-1,-1,-1,-1,1,Rep. Carol Miller [R]
412842,1,1,1,1,1,1,Rep. Jared Golden [D]
412843,-1,-1,-1,-1,-1,1,Rep. Fred Keller [R]
412844,-1,-1,-1,-1,-1,-1,Rep. Dan Bishop [R]
412845,-1,1,-1,-1,-1,1,Rep. Gregory Murphy [R]
456791,-1,-1,-1,-1,-1,1,Rep. Thomas Tiffany [R]
456792,-1,1,-1,-1,-1,1,Rep. Mike Garcia [R]
456793,-1,-1,-1,-1,-1,1,Rep. Chris Jacobs [R]
456799,-1,-1,-1,-1,-1,-1,Rep. Jerry Carl Jr. [R]
456800,-1,-1,-1,-1,-1,1,Rep. Barry Moore [R]
456801,-1,1,1,-1,-1,1,Rep. Jay Obernolte [R]
456802,-1,1,1,-1,-1,1,Rep. Young Kim [R]
456803,-1,-1,-1,-1,-1,1,Rep. Michelle Steel [R]
456804,1,0,1,1,1,1,Rep. Sara Jacobs [D]
456805,-1,0,-1,-1,-1,1,Rep. Lauren Boebert [R]
456806,-1,-1,-1,-1,-1,1,Rep. Katherine “Kat” Cammack [R]
456807,-1,-1,-1,-1,-1,1,Rep. Scott Franklin [R]
456808,-1,-1,-1,-1,-1,1,Rep. Byron Donalds [R]
456809,-1,1,-1,-1,-1,1,Rep. Carlos Gimenez [R]
456810,-1,1,-1,-1,-1,1,Rep. Maria Salazar [R]
456811,1,1,1,1,1,1,Rep. Nikema Williams [D]
456812,1,1,1,1,1,1,Rep. Carolyn Bourdeaux [D]
456813,-1,-1,-1,-1,-1,-1,Rep. Andrew Clyde [R]
456814,-1,-1,-1,-1,-1,0,Rep. Marjorie Greene [R]
456815,1,1,1,1,1,1,Rep. Kaialiʻi Kahele [D]
456816,-1,-1,-1,-1,-1,1,Rep. Ashley Hinson [R]
456817,-1,-1,-1,-1,-1,1,Rep. Mariannette Miller-Meeks [R]
456818,-1,-1,-1,-1,-1,1,Rep. Randy Feenstra [R]
456819,1,1,1,1,1,1,Rep. Marie Newman [D]
456820,-1,-1,-1,-1,-1,-1,Rep. Mary Miller [R]
456821,1,1,1,1,1,1,Rep. Frank Mrvan [D]
456822,-1,-1,-1,-1,-1,1,Rep. Victoria Spartz [R]
456823,-1,-1,-1,-1,-1,-1,Rep. Tracey Mann [R]
456824,-1,-1,-1,-1,-1,1,Rep. Jacob “Jake” LaTurner [R]
456825,1,1,1,1,1,1,Rep. Jake Auchincloss [D]
456826,-1,1,1,-1,-1,1,Rep. Peter Meijer [R]
456827,-1,-1,-1,-1,-1,-1,Rep. Lisa McClain [R]
456828,-1,-1,-1,-1,-1,-1,Rep. Michelle Fischbach [R]
456829,1,-1,1,1,1,1,Rep. Cori Bush [D]
456830,-1,-1,-1,-1,-1,-1,Rep. Matthew Rosendale Sr. [R]
456831,1,1,1,1,1,1,Rep. Deborah Ross [D]
456832,1,1,1,1,1,1,Rep. Kathy Manning [D]
456833,-1,-1,-1,-1,-1,1,Rep. David “Madison” Cawthorn [R]
456834,-1,-1,-1,-1,-1,-1,Rep. Yvette Herrell [R]
456835,1,1,1,1,1,1,Rep. Teresa Leger Fernandez [D]
456836,-1,-1,-1,-1,-1,1,Rep. Andrew Garbarino [R]
456837,-1,-1,-1,-1,-1,1,Rep. Nicole Malliotakis [R]
456838,1,1,1,1,1,1,Rep. Ritchie Torres [D]
456839,1,1,1,1,1,1,Rep. Jamaal Bowman [D]
456840,1,1,1,1,1,1,Rep. Mondaire Jones [D]
456841,-1,-1,-1,-1,-1,1,Rep. Stephanie Bice [R]
456842,-1,-1,-1,-1,-1,-1,Rep. Cliff Bentz [R]
456843,-1,1,1,1,-1,1,Rep. Nancy Mace [R]
456844,-1,-1,-1,-1,-1,-1,Rep. Diana Harshbarger [R]
456845,-1,-1,-1,-1,-1,-1,Rep. Patrick “Pat” Fallon [R]
456846,-1,-1,-1,-1,-1,1,Rep. August Pfluger II [R]
456847,-1,-1,-1,-1,-1,-1,Rep. Ronny Jackson [R]
456848,-1,-1,-1,-1,-1,-1,Rep. Troy Nehls [R]
456849,-1,-1,-1,-1,-1,1,Rep. Ernest “Tony” Gonzales [R]
456850,-1,1,-1,-1,-1,1,Rep. Beth Van Duyne [R]
456851,-1,-1,-1,-1,-1,1,Rep. Blake Moore [R]
456852,-1,-1,-1,-1,-1,1,Rep. Clarence “Burgess” Owens [R]
456853,-1,-1,-1,-1,-1,-1,Rep. Robert “Bob” Good [R]
456854,1,1,1,1,1,1,Rep. Marilyn Strickland [D]
456855,-1,-1,-1,-1,-1,-1,Rep. Scott Fitzgerald [R]
456859,-1,-1,-1,-1,-1,1,Rep. Julia Letlow [R]
456860,1,1,1,1,1,1,Rep. Troy Carter [D]
456861,1,1,1,1,1,1,Rep. Melanie Stansbury [D]
456862,-1,-1,-1,-1,-1,-1,Rep. Jake Ellzey [R]
456863,1,1,1,1,1,1,Rep. Shontel Brown [D]
456864,-1,-1,-1,-1,-1,-1,Rep. Mike Carey [R]
456865,1,1,1,1,1,1,Rep. Sheila Cherfilus-McCormick [D]
,,,,,,,
,,,,,,,